epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6473,0.68584,2.08825,0.60584,0.9411,0.99562,0.99814,1,0.99499,0.94911,0.99814,1,0.99499,0.92548,0.32397,0.20419,0.17747,0.3098,0.79492,0.000664,0.000664,0.000664
2,140.967,0.41092,0.35755,0.34853,0.36708,0.84327,0.9995,0.99994,0.995,0.97807,0.9995,0.99994,0.995,0.99497,0.25016,0.11965,0.08319,0.23833,0.78493,0.00130432,0.00130432,0.00130432
3,211.145,0.39108,0.29687,0.21827,0.34072,0.83603,0.99608,1,0.99474,0.96986,0.99608,1,0.99474,0.99468,0.28642,0.07447,0.02497,0.26327,0.79943,0.00191824,0.00191824,0.00191824
4,281.138,0.35094,0.20396,0.12571,0.31663,0.82733,0.99572,1,0.9949,0.9903,0.99572,1,0.9949,0.99488,0.2114,0.03731,0.0114,0.22968,0.78433,0.0018812,0.0018812,0.0018812
5,351.151,0.32049,0.18957,0.08806,0.29141,0.82199,0.99919,0.99975,0.995,0.98843,0.99919,0.99975,0.995,0.995,0.22722,0.05969,0.0135,0.2137,0.78128,0.0018416,0.0018416,0.0018416
6,421.289,0.30974,0.17034,0.08447,0.28248,0.81866,0.99866,1,0.995,0.97983,0.99866,1,0.995,0.995,0.27059,0.033,0.00679,0.23154,0.7861,0.001802,0.001802,0.001802
7,491.389,0.28316,0.11632,0.05315,0.26108,0.81433,0.99767,1,0.99499,0.99346,0.99767,1,0.99499,0.99498,0.18518,0.02609,0.01099,0.17803,0.77247,0.0017624,0.0017624,0.0017624
8,561.466,0.26268,0.10065,0.04422,0.24614,0.81046,0.9995,1,0.995,0.99364,0.9995,1,0.995,0.995,0.1746,0.03461,0.00587,0.17892,0.77086,0.0017228,0.0017228,0.0017228
9,631.581,0.24587,0.08298,0.04013,0.23536,0.80492,0.99698,1,0.99472,0.99466,0.99698,1,0.99472,0.99472,0.14444,0.02099,0.00485,0.16111,0.76932,0.0016832,0.0016832,0.0016832
10,701.397,0.24302,0.08503,0.03485,0.22766,0.8066,0.99991,1,0.995,0.9944,0.99991,1,0.995,0.995,0.14941,0.02018,0.00587,0.1554,0.76723,0.0016436,0.0016436,0.0016436
11,771.016,0.23056,0.07991,0.03464,0.22621,0.80504,0.99997,1,0.995,0.99493,0.99997,1,0.995,0.995,0.1427,0.01418,0.00252,0.15418,0.76643,0.001604,0.001604,0.001604
12,840.806,0.23081,0.07618,0.03274,0.21854,0.80077,0.99991,1,0.995,0.99495,0.99991,1,0.995,0.99498,0.13888,0.02003,0.00189,0.14715,0.76688,0.0015644,0.0015644,0.0015644
13,910.486,0.21801,0.07642,0.02617,0.21623,0.79902,0.99847,1,0.99497,0.99493,0.99847,1,0.99497,0.99497,0.13903,0.0166,0.00237,0.14097,0.76609,0.0015248,0.0015248,0.0015248
14,980.564,0.21726,0.0785,0.02781,0.21041,0.79958,0.9999,1,0.995,0.99499,0.9999,1,0.995,0.995,0.13661,0.01453,0.00189,0.13811,0.76442,0.0014852,0.0014852,0.0014852
15,1050.69,0.20152,0.05091,0.01895,0.19569,0.79566,0.99923,1,0.995,0.99497,0.99923,1,0.995,0.995,0.12262,0.01348,0.00276,0.12763,0.76399,0.0014456,0.0014456,0.0014456
16,1120.89,0.20466,0.0477,0.0214,0.19579,0.79781,0.99998,1,0.995,0.99498,0.99998,1,0.995,0.995,0.11559,0.00886,0.00146,0.12168,0.76348,0.001406,0.001406,0.001406
17,1191.23,0.18707,0.0466,0.024,0.18847,0.79577,0.99996,1,0.995,0.99499,0.99996,1,0.995,0.995,0.11382,0.00825,0.00207,0.12493,0.76211,0.0013664,0.0013664,0.0013664
18,1261.41,0.191,0.05008,0.01827,0.18619,0.79597,0.99997,1,0.995,0.99499,0.99997,1,0.995,0.995,0.12158,0.01414,0.00157,0.11928,0.76279,0.0013268,0.0013268,0.0013268
19,1331.65,0.18724,0.04851,0.016,0.18255,0.79525,0.99985,1,0.995,0.995,0.99985,1,0.995,0.995,0.10607,0.00844,0.00206,0.11114,0.76204,0.0012872,0.0012872,0.0012872
20,1401.93,0.1802,0.03847,0.01918,0.17733,0.79269,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.10184,0.01071,0.00172,0.11809,0.76237,0.0012476,0.0012476,0.0012476
21,1472.17,0.17787,0.039,0.01953,0.17655,0.79029,0.99998,1,0.995,0.99495,0.99998,1,0.995,0.995,0.09974,0.00757,0.00091,0.10641,0.76105,0.001208,0.001208,0.001208
22,1542.61,0.17666,0.04217,0.02064,0.17375,0.79179,0.99979,1,0.995,0.995,0.99979,1,0.995,0.995,0.10199,0.00822,0.00156,0.10752,0.76114,0.0011684,0.0011684,0.0011684
23,1612.85,0.16833,0.03624,0.01756,0.16642,0.79077,0.99996,1,0.995,0.995,0.99996,1,0.995,0.995,0.09042,0.00527,0.00104,0.095,0.75998,0.0011288,0.0011288,0.0011288
24,1683.21,0.16569,0.0311,0.01238,0.16489,0.79326,0.9997,1,0.995,0.99498,0.9997,1,0.995,0.995,0.09234,0.0072,0.00102,0.09591,0.76026,0.0010892,0.0010892,0.0010892
25,1753.56,0.15986,0.03399,0.0144,0.15693,0.7936,0.99993,1,0.995,0.99499,0.99993,1,0.995,0.995,0.1058,0.00413,0.00095,0.10359,0.76199,0.0010496,0.0010496,0.0010496
26,1823.89,0.16235,0.02941,0.01873,0.15998,0.79098,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.08821,0.0058,0.00085,0.09688,0.75946,0.00101,0.00101,0.00101
27,1894.24,0.15761,0.0279,0.01258,0.15594,0.78997,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.08883,0.00423,0.00094,0.09358,0.75987,0.0009704,0.0009704,0.0009704
28,1964.48,0.15097,0.02604,0.01412,0.1497,0.79108,0.99997,1,0.995,0.99499,0.99997,1,0.995,0.995,0.08785,0.00335,0.00069,0.08985,0.7598,0.0009308,0.0009308,0.0009308
29,2034.92,0.15234,0.02668,0.01335,0.1499,0.79214,0.99995,1,0.995,0.995,0.99995,1,0.995,0.995,0.08138,0.00338,0.001,0.08493,0.75929,0.0008912,0.0008912,0.0008912
30,2105.23,0.14982,0.02623,0.01157,0.14842,0.78887,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.0794,0.00405,0.00107,0.08499,0.7584,0.0008516,0.0008516,0.0008516
31,2175.71,0.14465,0.02705,0.01105,0.14393,0.78934,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.07607,0.00488,0.00115,0.07849,0.75835,0.000812,0.000812,0.000812
32,2246.21,0.14298,0.02504,0.01477,0.14286,0.78815,0.99993,1,0.995,0.995,0.99993,1,0.995,0.995,0.07777,0.00431,0.00102,0.07894,0.75799,0.0007724,0.0007724,0.0007724
33,2316.64,0.13888,0.02221,0.0106,0.13948,0.78845,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.07943,0.00383,0.00056,0.07996,0.7584,0.0007328,0.0007328,0.0007328
34,2387.09,0.14026,0.02129,0.01183,0.13762,0.78888,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.08222,0.0054,0.00053,0.08341,0.75884,0.0006932,0.0006932,0.0006932
35,2457.62,0.13879,0.024,0.01112,0.14057,0.78914,0.99936,1,0.99496,0.99496,0.99936,1,0.99496,0.99496,0.07507,0.00449,0.0007,0.08141,0.75871,0.0006536,0.0006536,0.0006536
36,2528.12,0.13533,0.02146,0.00983,0.13795,0.79106,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.07204,0.00304,0.00046,0.07698,0.7578,0.000614,0.000614,0.000614
37,2598.63,0.12733,0.01903,0.01144,0.12837,0.78585,0.99996,1,0.995,0.995,0.99996,1,0.995,0.995,0.06998,0.00408,0.00129,0.07958,0.75743,0.0005744,0.0005744,0.0005744
38,2669.05,0.12554,0.01691,0.01173,0.12993,0.78682,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.07037,0.00227,0.00049,0.07259,0.75692,0.0005348,0.0005348,0.0005348
39,2739.49,0.12829,0.01777,0.00975,0.12897,0.78674,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.0705,0.00255,0.00073,0.07287,0.75715,0.0004952,0.0004952,0.0004952
40,2809.91,0.12102,0.01694,0.00753,0.12327,0.78389,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.06548,0.00251,0.00049,0.06828,0.75671,0.0004556,0.0004556,0.0004556
41,2895.02,0.10078,0.00784,0.00524,0.09911,0.77084,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.06686,0.00198,0.00078,0.06951,0.75704,0.000416,0.000416,0.000416
42,2965.82,0.10115,0.00749,0.00598,0.10051,0.76976,0.99996,1,0.995,0.995,0.99996,1,0.995,0.995,0.06566,0.00208,0.0005,0.06868,0.75693,0.0003764,0.0003764,0.0003764
43,3036.47,0.09661,0.00708,0.0059,0.09568,0.77175,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.06287,0.00219,0.00054,0.06614,0.75653,0.0003368,0.0003368,0.0003368
44,3107.07,0.09481,0.00648,0.00451,0.09452,0.77551,0.99992,1,0.995,0.995,0.99992,1,0.995,0.995,0.06737,0.0018,0.00056,0.06846,0.75676,0.0002972,0.0002972,0.0002972
45,3177.69,0.09035,0.00626,0.00653,0.09167,0.77081,0.99999,1,0.995,0.995,0.99999,1,0.995,0.995,0.05992,0.00183,0.00036,0.06209,0.75664,0.0002576,0.0002576,0.0002576
46,3248.71,0.09094,0.00631,0.0064,0.08966,0.7726,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.05999,0.00186,0.00036,0.06138,0.75607,0.000218,0.000218,0.000218
47,3319.63,0.08591,0.00485,0.00708,0.08441,0.77131,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.05951,0.00139,0.00041,0.05895,0.75593,0.0001784,0.0001784,0.0001784
48,3390.42,0.08368,0.00466,0.00319,0.08257,0.77282,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.05765,0.00135,0.00051,0.05763,0.7558,0.0001388,0.0001388,0.0001388
49,3460.98,0.07962,0.00418,0.00206,0.07836,0.76818,0.99998,1,0.995,0.995,0.99998,1,0.995,0.995,0.05678,0.00127,0.00039,0.05485,0.75568,9.92e-05,9.92e-05,9.92e-05
50,3531.7,0.07733,0.00408,0.00247,0.07536,0.77241,0.99997,1,0.995,0.995,0.99997,1,0.995,0.995,0.05564,0.00129,0.00029,0.05292,0.75564,5.96e-05,5.96e-05,5.96e-05
